algorithm,implementation,size,run,time_in_ms
mergesort,js,small,1,0.000000
mergesort,js,small,2,0.000000
mergesort,js,small,3,0.000000
mergesort,js,small,4,0.000000
mergesort,js,small,5,0.000000
mergesort,js,small,6,1.000000
mergesort,js,small,7,0.000000
mergesort,js,small,8,0.000000
mergesort,js,small,9,0.000000
mergesort,js,small,10,0.000000
mergesort,js,small,11,0.000000
mergesort,js,small,12,0.000000
mergesort,js,small,13,0.000000
mergesort,js,small,14,0.000000
mergesort,js,small,15,0.000000
mergesort,js,small,16,0.000000
mergesort,js,small,17,0.000000
mergesort,js,small,18,0.000000
mergesort,js,small,19,1.000000
mergesort,js,small,20,0.000000
mergesort,js,small,21,0.000000
mergesort,js,small,22,0.000000
mergesort,js,small,23,0.000000
mergesort,js,small,24,0.000000
mergesort,js,small,25,0.000000
mergesort,js,small,26,0.000000
mergesort,js,small,27,0.000000
mergesort,js,small,28,0.000000
mergesort,js,small,29,0.000000
mergesort,js,small,30,0.000000
mergesort,wasm,small,1,0.000000
mergesort,wasm,small,2,0.000000
mergesort,wasm,small,3,0.000000
mergesort,wasm,small,4,0.000000
mergesort,wasm,small,5,0.000000
mergesort,wasm,small,6,0.000000
mergesort,wasm,small,7,0.000000
mergesort,wasm,small,8,0.000000
mergesort,wasm,small,9,0.000000
mergesort,wasm,small,10,0.000000
mergesort,wasm,small,11,0.000000
mergesort,wasm,small,12,0.000000
mergesort,wasm,small,13,0.000000
mergesort,wasm,small,14,0.000000
mergesort,wasm,small,15,0.000000
mergesort,wasm,small,16,1.000000
mergesort,wasm,small,17,0.000000
mergesort,wasm,small,18,0.000000
mergesort,wasm,small,19,0.000000
mergesort,wasm,small,20,0.000000
mergesort,wasm,small,21,0.000000
mergesort,wasm,small,22,0.000000
mergesort,wasm,small,23,0.000000
mergesort,wasm,small,24,0.000000
mergesort,wasm,small,25,0.000000
mergesort,wasm,small,26,0.000000
mergesort,wasm,small,27,0.000000
mergesort,wasm,small,28,0.000000
mergesort,wasm,small,29,0.000000
mergesort,wasm,small,30,0.000000
quicksort,js,small,1,0.000000
quicksort,js,small,2,0.000000
quicksort,js,small,3,0.000000
quicksort,js,small,4,0.000000
quicksort,js,small,5,1.000000
quicksort,js,small,6,0.000000
quicksort,js,small,7,0.000000
quicksort,js,small,8,0.000000
quicksort,js,small,9,0.000000
quicksort,js,small,10,0.000000
quicksort,js,small,11,0.000000
quicksort,js,small,12,0.000000
quicksort,js,small,13,0.000000
quicksort,js,small,14,0.000000
quicksort,js,small,15,0.000000
quicksort,js,small,16,0.000000
quicksort,js,small,17,0.000000
quicksort,js,small,18,0.000000
quicksort,js,small,19,0.000000
quicksort,js,small,20,0.000000
quicksort,js,small,21,0.000000
quicksort,js,small,22,0.000000
quicksort,js,small,23,0.000000
quicksort,js,small,24,0.000000
quicksort,js,small,25,0.000000
quicksort,js,small,26,0.000000
quicksort,js,small,27,0.000000
quicksort,js,small,28,0.000000
quicksort,js,small,29,0.000000
quicksort,js,small,30,0.000000
quicksort,wasm,small,1,0.000000
quicksort,wasm,small,2,0.000000
quicksort,wasm,small,3,0.000000
quicksort,wasm,small,4,0.000000
quicksort,wasm,small,5,0.000000
quicksort,wasm,small,6,0.000000
quicksort,wasm,small,7,0.000000
quicksort,wasm,small,8,0.000000
quicksort,wasm,small,9,0.000000
quicksort,wasm,small,10,0.000000
quicksort,wasm,small,11,0.000000
quicksort,wasm,small,12,0.000000
quicksort,wasm,small,13,0.000000
quicksort,wasm,small,14,0.000000
quicksort,wasm,small,15,0.000000
quicksort,wasm,small,16,0.000000
quicksort,wasm,small,17,0.000000
quicksort,wasm,small,18,0.000000
quicksort,wasm,small,19,0.000000
quicksort,wasm,small,20,0.000000
quicksort,wasm,small,21,0.000000
quicksort,wasm,small,22,1.000000
quicksort,wasm,small,23,0.000000
quicksort,wasm,small,24,0.000000
quicksort,wasm,small,25,0.000000
quicksort,wasm,small,26,0.000000
quicksort,wasm,small,27,0.000000
quicksort,wasm,small,28,0.000000
quicksort,wasm,small,29,0.000000
quicksort,wasm,small,30,0.000000
mergesort,js,medium,1,14.000000
mergesort,js,medium,2,12.000000
mergesort,js,medium,3,13.000000
mergesort,js,medium,4,14.000000
mergesort,js,medium,5,13.000000
mergesort,js,medium,6,13.000000
mergesort,js,medium,7,14.000000
mergesort,js,medium,8,14.000000
mergesort,js,medium,9,12.000000
mergesort,js,medium,10,13.000000
mergesort,js,medium,11,14.000000
mergesort,js,medium,12,13.000000
mergesort,js,medium,13,13.000000
mergesort,js,medium,14,13.000000
mergesort,js,medium,15,13.000000
mergesort,js,medium,16,14.000000
mergesort,js,medium,17,13.000000
mergesort,js,medium,18,14.000000
mergesort,js,medium,19,12.000000
mergesort,js,medium,20,13.000000
mergesort,js,medium,21,14.000000
mergesort,js,medium,22,13.000000
mergesort,js,medium,23,14.000000
mergesort,js,medium,24,12.000000
mergesort,js,medium,25,14.000000
mergesort,js,medium,26,13.000000
mergesort,js,medium,27,14.000000
mergesort,js,medium,28,13.000000
mergesort,js,medium,29,13.000000
mergesort,js,medium,30,13.000000
mergesort,wasm,medium,1,7.000000
mergesort,wasm,medium,2,7.000000
mergesort,wasm,medium,3,7.000000
mergesort,wasm,medium,4,8.000000
mergesort,wasm,medium,5,7.000000
mergesort,wasm,medium,6,6.000000
mergesort,wasm,medium,7,8.000000
mergesort,wasm,medium,8,7.000000
mergesort,wasm,medium,9,7.000000
mergesort,wasm,medium,10,7.000000
mergesort,wasm,medium,11,7.000000
mergesort,wasm,medium,12,8.000000
mergesort,wasm,medium,13,7.000000
mergesort,wasm,medium,14,7.000000
mergesort,wasm,medium,15,7.000000
mergesort,wasm,medium,16,8.000000
mergesort,wasm,medium,17,6.000000
mergesort,wasm,medium,18,8.000000
mergesort,wasm,medium,19,7.000000
mergesort,wasm,medium,20,6.000000
mergesort,wasm,medium,21,8.000000
mergesort,wasm,medium,22,7.000000
mergesort,wasm,medium,23,7.000000
mergesort,wasm,medium,24,8.000000
mergesort,wasm,medium,25,6.000000
mergesort,wasm,medium,26,7.000000
mergesort,wasm,medium,27,8.000000
mergesort,wasm,medium,28,6.000000
mergesort,wasm,medium,29,7.000000
mergesort,wasm,medium,30,8.000000
quicksort,js,medium,1,8.000000
quicksort,js,medium,2,7.000000
quicksort,js,medium,3,8.000000
quicksort,js,medium,4,9.000000
quicksort,js,medium,5,7.000000
quicksort,js,medium,6,8.000000
quicksort,js,medium,7,8.000000
quicksort,js,medium,8,7.000000
quicksort,js,medium,9,9.000000
quicksort,js,medium,10,7.000000
quicksort,js,medium,11,9.000000
quicksort,js,medium,12,7.000000
quicksort,js,medium,13,8.000000
quicksort,js,medium,14,8.000000
quicksort,js,medium,15,8.000000
quicksort,js,medium,16,8.000000
quicksort,js,medium,17,7.000000
quicksort,js,medium,18,9.000000
quicksort,js,medium,19,8.000000
quicksort,js,medium,20,7.000000
quicksort,js,medium,21,9.000000
quicksort,js,medium,22,7.000000
quicksort,js,medium,23,9.000000
quicksort,js,medium,24,7.000000
quicksort,js,medium,25,9.000000
quicksort,js,medium,26,7.000000
quicksort,js,medium,27,9.000000
quicksort,js,medium,28,7.000000
quicksort,js,medium,29,8.000000
